Name,Casno,Formula,hit_prob,match_factor,reverse_match_factor,rt1,rt2,Area,Height
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,63.32,753,921,37.100008793584806,0.6224899598393574,3964140.832779634,2332699.9804668697
"Cyclohexasiloxane, dodecamethyl-",540-97-6,C12H36O6Si6,96.1,864,891,28.220907337933117,1.214859437751004,32896350.905381918,2320951.099406844
"Decane, 2,4,6-trimethyl-",62108-27-4,C13H28,10.6,816,919,21.905490105392126,1.1144578313253013,23120363.421348803,2307252.93163379
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,57.88,760,920,37.12085175474831,1.0742971887550201,3965865.8628251282,2328549.9841566067
Tetradecane,629-59-4,C14H30,26.76,885,935,30.763748599880316,0.3514056224899598,42792931.10808109,2283523.612763508
Undecane,1120-21-4,C11H24,25.0,858,923,21.86380418306512,0.2459839357429719,47157252.493743144,2289128.587519437
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,60.14,759,925,37.32928136638332,0.4718875502008032,4068864.93316466,2422747.4849572405
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,60.19,755,929,37.0374799100943,0.9738955823293173,5513378.766271725,2314050.3863285678
Eucalyptol,470-82-6,C10H18O,55.83,862,890,20.509011707437516,0.5522088353413654,51405445.8390881,2452828.331407669
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,64.68,760,918,37.16253767707531,0.2710843373493976,2302793.0669349027,2302793.0669349027
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,65.07,752,920,37.30843840521982,0.020080321285140562,4056993.50680002,2388046.2859375384
"Cyclopentasiloxane, decamethyl-",541-2-6,C10H30O5Si5,80.93,803,850,23.01016704705771,0.9437751004016064,15693192.639777288,3283934.122171082
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.7,782,930,37.579396900345344,0.7680722891566265,2601436.4131301967,2601436.4131301967
Hexanal,66-25-1,C6H12O,64.26,799,861,12.943016805086428,0.8634538152610441,25946846.6568227,2601763.747961228
"1,4-Pentadiene",591-93-5,C5H8,29.75,729,947,4.418245689214265,0.9889558232931727,13992474.669304736,2491180.489428534
Acetophenone,98-86-2,C8H8O,46.49,893,900,22.98932408589421,0.18072289156626506,319023685.39029306,4579318.256271162
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.85,769,930,37.204223599402305,1.1746987951807228,3868229.946300096,2283022.2281595045
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,60.55,765,925,37.24590952172931,0.3714859437751004,3912361.149153251,2308363.2018855726
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.53,761,922,37.016636948930795,0.5170682730923695,5509872.74763042,2301534.5561987837
"Propane, 1-(methylthio)-",3877-15-4,C4H10S,93.22,832,896,9.420556368454653,0.8333333333333334,48597133.058000885,2218364.564851128
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.26,766,922,37.18338063823881,0.7228915662650602,2305617.2443835614,2305617.2443835614
Isopropyl Alcohol,67-63-0,C3H8O,85.97,928,945,4.918476757138304,0.0,157666457.8361294,46696928.27005934
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,68.73,762,926,37.0791658324213,0.1706827309236948,5400629.167421276,2276672.6002951055
Tetradecane,629-59-4,C14H30,28.63,890,935,30.72206267755331,1.1546184738955823,42837016.05080757,2218007.435590633
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,51.02,723,896,37.579396900345344,0.31626506024096385,2456612.255993523,2456612.255993523
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,83.51,846,931,38.70491680317443,1.25,6566722.497538991,2195359.9435198125
Ethylbenzene,100-41-4,C8H10,60.69,892,952,14.568767775839554,0.3413654618473896,87811870.23519903,2146966.2760077775
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,63.79,763,921,36.76652141496877,0.22088353413654618,2187233.125467339,2187233.125467339
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.76,773,929,37.60023986150885,1.2198795180722892,4489398.678237269,2617423.1298237196
"Trisiloxane, octamethyl-",107-51-7,C8H24O2Si3,89.18,871,912,14.151908552569521,0.12048192771084337,39815802.61154848,2166518.3310340606
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,60.17,756,925,36.99579398776729,0.07028112449799197,5410203.772078945,2239455.9706459576
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.78,745,915,36.72483549264177,1.0240963855421688,2171755.026911742,2171755.026911742
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,51.36,739,916,36.80820733729578,1.1244979919678715,5325609.609599882,2220939.937914174
2-Pentanone,107-87-9,C5H10O,80.72,854,895,9.295498601473644,0.2560240963855422,96382693.7025965,2169024.283774041
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,56.73,755,917,36.84989325962278,0.321285140562249,5269010.168458954,2178790.0389811364
"Dodecane, 2,6,11-trimethyl-",31295-56-4,C15H32,6.1,804,881,27.40803185255655,0.8835341365461847,19302879.380531088,2107006.0839762283
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,58.91,760,932,36.93326510427679,0.42168674698795183,5328135.9921890665,2197237.0902191834
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,56.78,749,915,36.89157918194979,1.2248995983935742,3662892.4376539993,2182201.335069123
"Pentanedinitrile, 2-methyl-",4553-62-2,C6H8N2,57.42,829,871,26.261668988563965,0.9236947791164659,118900511.0085265,2091631.4457194551
"Benzene, 1,3-dimethyl-",108-38-3,C8H10,32.56,860,907,15.777659523322647,1.179718875502008,68860687.50177827,2128423.063740013
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,56.37,748,915,36.787364376132274,0.6726907630522089,5137092.403716847,2146405.7830338194
"Carbonic acid, decyl propyl ester",---,C14H28O3,6.63,706,775,21.717903454920613,0.6124497991967871,25800572.63404106,2076490.9912149596
Acetophenone,98-86-2,C8H8O,55.52,893,913,23.01016704705771,0.607429718875502,330880384.1841794,4552752.2921153465
